34419123,130,"Budapest III. kerület, Csillaghegy",269,4,2024-12-30 15:54:33
34497250,129,"Budapest XI. kerület, Madárhegy",184,5,2024-12-30 15:54:33
34511721,127,"Budapest III. kerület, Ürömhegy",245,4,2024-12-30 15:54:33
34002024,122,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2024-12-30 15:54:33
34025501,122,"Budapest II. kerület, Előd vezér utca",265,4,2024-12-30 15:54:33
33973446,116,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2024-12-30 15:54:33
34378786,112,"Budapest III. kerület, Tarhos utca 156.",199.90,5,2025-01-02 10:02:04
34378761,112,"Budapest III. kerület, Tarhos utca 156.",179.90,5,2025-01-02 10:02:04
34144137,95,"Budapest III. kerület, Aranyhegy",149,3.5,2025-01-02 10:02:04
34090899,122,"Budapest III. kerület, Jutas köz 4.",157.50,4,2025-01-02 10:02:04
34419123,130,"Budapest III. kerület, Csillaghegy",269,4,2025-01-02 10:02:04
34509222,103,"Budapest III. kerület, Ürömhegy",189,4,2025-01-02 10:02:04
33484732,105,"Budapest III. kerület, Aranyhegy",183.75,4,2025-01-02 10:02:04
33412443,120,"Budapest III. kerület, Csillaghegy",168,5,2025-01-02 10:02:04
33810693,105,"Budapest III. kerület, Ürömhegy",182,5,2025-01-02 10:02:04
33643923,130,"Budapest III. kerület, Csillaghegy",228,5,2025-01-02 10:02:04
34335453,130,"Budapest III. kerület, Ürömhegy",189.90,4,2025-01-02 10:02:04
33085862,108,"Budapest III. kerület, Aranyhegy",155,4.5,2025-01-02 10:02:04
34216971,125,"Budapest III. kerület, Csillaghegy",150,4,2025-01-02 10:02:04
34385800,105,"Budapest III. kerület, Aranyhegy",179.90,4,2025-01-02 10:02:04
34333588,104,"Budapest III. kerület, Ürömfű utca",189,4,2025-01-02 10:02:04
34497250,129,"Budapest XI. kerület, Madárhegy",184,5,2025-01-02 10:02:04
34511721,127,"Budapest III. kerület, Ürömhegy",245,4,2025-01-02 10:02:04
34025501,122,"Budapest II. kerület, Előd vezér utca",265,4,2025-01-02 10:02:04
33973446,116,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2025-01-02 10:02:04
34025397,122,"Budapest II. kerület, Előd vezér utca",265,4,2025-01-02 10:02:04
34496580,120,"Budapest II. kerület, Jegesmedve lejtő",164.99,5,2025-01-02 10:02:18
32687768,120,"Budapest III. kerület, Csillaghegy",168,4,2025-01-02 10:02:18
34002024,122,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2025-01-02 10:02:18
34366994,130,"Budapest II. kerület, II/A kerület - Budaliget",265,5.5,2025-01-02 10:02:18
34227039,130,"Budapest XI. kerület, Szerelmey Miklós utca",219,5.5,2025-01-02 10:02:18
34194794,130,"Budapest III. kerület, Tarhos utca",194.90,4,2025-01-02 10:02:18
34445329,122,"Budapest II. kerület, II/A kerület - Budaliget",264.70,4,2025-01-02 10:02:18
33920599,120,"Budapest III. kerület, Naplemente utca",170,4,2025-01-02 10:02:18
33127761,120,"Budapest III. kerület, Ürömhegy",208,5,2025-01-02 10:02:18
33920599,120,"Budapest III. kerület, Naplemente utca",170,4,2025-01-03 11:36:14
32687768,120,"Budapest III. kerület, Csillaghegy",168,4,2025-01-03 11:36:14
34002024,122,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2025-01-03 11:36:14
34366994,130,"Budapest II. kerület, II/A kerület - Budaliget",265,5.5,2025-01-03 11:36:14
34227039,130,"Budapest XI. kerület, Szerelmey Miklós utca",219,5.5,2025-01-03 11:36:14
34194794,130,"Budapest III. kerület, Tarhos utca",194.90,4,2025-01-03 11:36:14
34445329,122,"Budapest II. kerület, II/A kerület - Budaliget",264.70,4,2025-01-03 11:36:14
33127761,120,"Budapest III. kerület, Ürömhegy",208,5,2025-01-03 11:36:14
34378786,112,"Budapest III. kerület, Tarhos utca 156.",199.90,5,2025-01-03 11:36:21
34378761,112,"Budapest III. kerület, Tarhos utca 156.",179.90,5,2025-01-03 11:36:21
34144137,95,"Budapest III. kerület, Aranyhegy",149,3.5,2025-01-03 11:36:21
34090899,122,"Budapest III. kerület, Jutas köz 4.",157.50,4,2025-01-03 11:36:21
33484732,105,"Budapest III. kerület, Aranyhegy",183.75,4,2025-01-03 11:36:21
34335453,130,"Budapest III. kerület, Ürömhegy",189.90,4,2025-01-03 11:36:21
34509222,103,"Budapest III. kerület, Ürömhegy",189,4,2025-01-03 11:36:21
34511721,127,"Budapest III. kerület, Ürömhegy",245,4,2025-01-03 11:36:21
33412443,120,"Budapest III. kerület, Csillaghegy",168,5,2025-01-03 11:36:21
33810693,105,"Budapest III. kerület, Ürömhegy",182,5,2025-01-03 11:36:21
33643923,130,"Budapest III. kerület, Csillaghegy",228,5,2025-01-03 11:36:21
34216971,125,"Budapest III. kerület, Csillaghegy",150,4,2025-01-03 11:36:21
34385800,105,"Budapest III. kerület, Aranyhegy",179.90,4,2025-01-03 11:36:21
34333588,104,"Budapest III. kerület, Ürömfű utca",189,4,2025-01-03 11:36:21
34419123,130,"Budapest III. kerület, Csillaghegy",269,4,2025-01-03 11:36:21
34497250,129,"Budapest XI. kerület, Madárhegy",184,5,2025-01-03 11:36:21
34025501,122,"Budapest II. kerület, Előd vezér utca",265,4,2025-01-03 11:36:21
33973446,116,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2025-01-03 11:36:21
34025397,122,"Budapest II. kerület, Előd vezér utca",265,4,2025-01-03 11:36:21
34496580,120,"Budapest II. kerület, Jegesmedve lejtő",164.99,5,2025-01-03 11:36:21
33412443,120,"Budapest III. kerület, Csillaghegy",168,5,2025-01-03 11:37:21
34025501,122,"Budapest II. kerület, Előd vezér utca",265,4,2025-01-03 11:37:21
33973446,116,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2025-01-03 11:37:21
34025397,122,"Budapest II. kerület, Előd vezér utca",265,4,2025-01-03 11:37:21
34496580,120,"Budapest II. kerület, Jegesmedve lejtő",164.99,5,2025-01-03 11:37:21
33920599,120,"Budapest III. kerület, Naplemente utca",170,4,2025-01-03 11:37:21
32687768,120,"Budapest III. kerület, Csillaghegy",168,4,2025-01-03 11:37:21
34002024,122,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2025-01-03 11:37:21
34366994,130,"Budapest II. kerület, II/A kerület - Budaliget",265,5.5,2025-01-03 11:37:21
